Additional_Information,Name,Type,Class,Genus,Species,Sample_ID,Owner,Reference,Nitrogen_pct,Carbon_pct,Cellulose_pct,Lignin_pct,Water_Content_pct,LMA_gm2,Leaf_Thickness_mm
TRUE,Baccharis pilularis 1,vegetation,Shrub,Baccharis,pilularis,VH001,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.09,51.14,12.87,9.28,76.85,34.7,0.22
TRUE,Baccharis pilularis 1,vegetation,Shrub,Baccharis,pilularis,VH002,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,2.93,52.89,7.04,11.03,72.92,38.64,0.22
TRUE,Baccharis pilularis 2,vegetation,Shrub,Baccharis,pilularis,VH003,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.6,49.22,13.27,7.43,71.91,59.44,0.19
TRUE,Baccharis pilularis 2,vegetation,Shrub,Baccharis,pilularis,VH004,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.33,52.34,9.42,10.66,71.72,39.2,0.21
TRUE,Baccharis pilularis 3,vegetation,Shrub,Baccharis,pilularis,VH005,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.17,48.97,9.93,12.03,74.68,36.98,0.2
TRUE,Baccharis pilularis 3,vegetation,Shrub,Baccharis,pilularis,VH006,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,3.29,51.63,8,10.3,75.35,38.59,0.2
TRUE,Ceanothus spinosus 1,vegetation,Shrub,Ceanothus,spinosus,VH007,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.68,49.48,4.43,3.32,55.65,102.1,0.28
TRUE,Ceanothus spinosus 1,vegetation,Shrub,Ceanothus,spinosus,VH008,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.69,42.48,4.93,3.07,53.66,83.62,0.23
TRUE,Ceanothus spinosus 2,vegetation,Shrub,Ceanothus,spinosus,VH009,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.35,46.71,4.19,2.69,58.33,113.6,0.31
TRUE,Ceanothus spinosus 2,vegetation,Shrub,Ceanothus,spinosus,VH010,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.89,47.77,5.7,2.9,57.66,83.29,0.22
TRUE,Ceanothus spinosus 3,vegetation,Shrub,Ceanothus,spinosus,VH011,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.82,46.16,6.08,2.99,60.47,88.38,0.25
